record_id,title,year,journal,authors,doi,pubmed_id,primary_url,full_text_decision,full_text_exclusion_reason_code,full_text_status,full_text_repo_path
REC-AIBIOGU-000241,Transient Receptor Potential Melastatin 4 (TRPM4) is associated with an immuno-stimulatory TME and better prognosis in BLCA.,2025,Discov Oncol,"Da, Yiqiang; Chen, Xuerui; Yu, Lanxin; Li, Yunxin; Chen, Zixu; Zhang, Yuyue; Wang, Hualin; Zhu, Zhuang; Liu, Yuan; Geng, Yao",10.1007/s12672-025-04080-z,41266683,https://doi.org/10.1007/s12672-025-04080-z,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000241.pdf
REC-AIBIOGU-000343,Development of a MRI-Based Radiomics Nomogram for Prediction of Response of Patients With Muscle-Invasive Bladder Cancer to Neoadjuvant Chemotherapy.,2022,Front Oncol,"Zhang, Xinxin; Wang, Yichen; Zhang, Jin; Zhang, Lianyu; Wang, Sicong; Chen, Yan",10.3389/fonc.2022.878499,35646654,https://doi.org/10.3389/fonc.2022.878499,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000343.pdf
REC-AIBIOGU-000348,Development of a radiomic signature for predicting response to neoadjuvant chemotherapy in muscle-invasive bladder cancer.,2022,Can Urol Assoc J,"Parmar, Ambica; Qazi, Abdul Aziz; Stundzia, Audrius; Sim, Hao-Wen; Lewin, Jeremy; Metser, Ur; O'Malley, Martin; Hansen, Aaron R",10.5489/cuaj.7294,34672933,https://doi.org/10.5489/cuaj.7294,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000348.pdf
REC-AIBIOGU-000387,Construction and validation of a predictive model for drug resistance in clear cell renal cell carcinoma based on the heterogeneous characteristics of pathological omics.,2026,Am J Transl Res,"Xu, Guangchi; Meng, Yin; Cui, Yongfeng; Li, Ji; Yang, Pucheng; Wang, Wenyu; Liu, Songtao",10.62347/pqim3135,42170440,https://doi.org/10.62347/pqim3135,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000387.pdf
REC-AIBIOGU-000412,A multiomics analysis-assisted machine learning model identifies renal hamartoma without visible fat and homogeneous clear cell renal cell carcinoma: A retrospective cohort study.,2025,Medicine (Baltimore),"Wu, Yutao; Lu, Kun; Liao, Yixiang; Wang, Jing; Yang, Tao; Wang, Li; Li, Fei",10.1097/md.0000000000046862,41465898,https://doi.org/10.1097/md.0000000000046862,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000412.pdf
REC-AIBIOGU-000461,Construction of a Wilms tumor risk model based on machine learning and identification of cuproptosis-related clusters.,2024,BMC Med Inform Decis Mak,"Huang, Jingru; Li, Yong; Pan, Xiaotan; Wei, Jixiu; Xu, Qiongqian; Zheng, Yin; Chen, Peng; Chen, Jiabo",10.1186/s12911-024-02716-8,39497055,https://doi.org/10.1186/s12911-024-02716-8,Excluded,wrong population,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000461.pdf
REC-AIBIOGU-000538,Quantitative image features from radiomic biopsy differentiate oncocytoma from chromophobe renal cell carcinoma.,2021,J Med Imaging (Bellingham),"Jaggi, Akshay; Mastrodicasa, Domenico; Charville, Gregory W; Jeffrey, R Brooke; Napel, Sandy; Patel, Bhavik",10.1117/1.jmi.8.5.054501,34514033,https://doi.org/10.1117/1.jmi.8.5.054501,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000538.pdf
REC-AIBIOGU-000590,Integrating CT Radiomics and microRNAs to Predict Residual Teratoma in Nonseminomatous Testicular Cancer.,2025,Radiol Imaging Cancer,"Rajeev, Radhika",10.1148/rycan.259028,40970799,https://doi.org/10.1148/rycan.259028,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000590.pdf
REC-AIBIOGU-000592,Deep learning-based super-resolution US radiomics to differentiate testicular seminoma and non-seminoma: an international multicenter study.,2025,Insights Imaging,"Zhang, Yafang; Lu, Shilin; Peng, Chuan; Zhou, Shichong; Campo, Irene; Bertolotto, Michele; Li, Qian; Wang, Zhiyuan; Xu, Dong; Wang, Yun; Xu, Jinshun; Wu, Qinfu; Hu, Xiaoying; Zheng, Wei; Zhou, Jianhua",10.1186/s13244-025-02045-y,40750949,https://doi.org/10.1186/s13244-025-02045-y,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000592.pdf
REC-AIBIOGU-000597,Identification of testicular cancer with T2-weighted MRI-based radiomics and automatic machine learning.,2025,BMC Cancer,"Wang, Liang; Zhang, PeiPei; Feng, Yanhui; Lv, Wenzhi; Min, Xiangde; Liu, Zhiyong; Li, Jin; Feng, Zhaoyan",10.1186/s12885-025-13844-3,40155850,https://doi.org/10.1186/s12885-025-13844-3,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000597.pdf
REC-AIBIOGU-000622,The potential role of MR based radiomic biomarkers in the characterization of focal testicular lesions.,2021,Sci Rep,"Feliciani, Giacomo; Mellini, Lorenzo; Carnevale, Aldo; Sarnelli, Anna; Parenti, Gian Carlo",10.1038/s41598-021-83023-4,33568713,https://doi.org/10.1038/s41598-021-83023-4,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000622.pdf
REC-AIBIOGU-000636,Construct lactylation-related gene signature to effectively predict the disease-free survival and treatment responsiveness in prostate cancer based on the machine learning,2023,,Pan J; Zhang J; Lin J; Cai Y; Wang Z; Ma Y; Liu Y; Zhao Z,10.21203/rs.3.rs-3478140/v1,,https://doi.org/10.21203/rs.3.rs-3478140/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000636.pdf
REC-AIBIOGU-000637,Machine Learning-Based Identification of Co-expressed Genes in Prostate Cancer and CRPC and Construction of Prognostic Models,2024,,Huang Z; Xu H; Zhang T; Wei H; Gao J; Xu C; Fan C,10.21203/rs.3.rs-4203768/v1,,https://doi.org/10.21203/rs.3.rs-4203768/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000637.pdf
REC-AIBIOGU-000638,Construct lactylation-related genes prognostic model to effectively predict the disease-free survival and treatment responsiveness in prostate cancer based on machine learning,2023,,Pan J; Zhang J; Lin J; Cai Y; Wang Z; Ma Y; Liu Y; Zhao Z,10.21203/rs.3.rs-3490267/v1,,https://doi.org/10.21203/rs.3.rs-3490267/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000638.pdf
REC-AIBIOGU-000639,Constructing a lactylation-related genes prognostic model to effectively predict the disease-free survival and treatment responsiveness in prostate cancer based on machine learning,2023,,Pan J; Zhang J; Lin J; Cai Y; Zhao Z,10.21203/rs.3.rs-3599127/v1,,https://doi.org/10.21203/rs.3.rs-3599127/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000639.pdf
REC-AIBIOGU-000642,Utility of Diffusion Weighted Imaging-Based Radiomics Nomogram to Predict Pelvic Lymph Nodes Metastasis in Prostate Cancer,2022,,Liu X; Tian J; Wu J; Zhang Y; Wang X; Zhang X; Wang X,10.21203/rs.3.rs-1919677/v1,,https://doi.org/10.21203/rs.3.rs-1919677/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000642.pdf
REC-AIBIOGU-000643,Identifying patients with rapid progression from hormone-sensitive to castration-resistant prostate cancer: a retrospective study,2022,,Pan C; He Y; Wang H; Yu Y; Li L; Huang L; Lyu M; Ge W; Yang B; Sun Y; Guo T; Liu Z,10.1101/2022.10.23.22281406,,https://doi.org/10.1101/2022.10.23.22281406,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000643.pdf
REC-AIBIOGU-000644,Development of a Predictive Model of Prostate cancer: Integration of a Panel of Formerly N-linked Glycopeptides and Clinical Variables for Serum Testing,2022,,Gabriele C; Aracri F; Prestagiacomo LE; Rota MA; Alba S; Tradigo G; Guzzi PH; Cuda G; Damiano R; Veltri P; Gaspari M,10.21203/rs.3.rs-2036305/v1,,https://doi.org/10.21203/rs.3.rs-2036305/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000644.pdf
REC-AIBIOGU-000645,Development of PSMA-PET-guided CT-based radiomic signature to predict biochemical recurrence after salvage radiotherapy,2022,,Spohn SK; Schmidt-Hegemann N; Ruf J; Mix M; Benndorf M; Bamberg F; Makowski MR; Kirste S; Rühle A; Nouvel J; Sprave T; Vogel MM; Galitsnaya P; Gschwend JE; Gratzke C; Stief C; Loeck S; Zwanenburg A; Trapp C; Bernhardt D; Nekolla SG; Li M; Belka C; Combs SE; Eiber M; Unterrainer L; Unterrainer M; Bartenstein P; Grosu AL; Zamboglou C; Peeken JC,10.21203/rs.3.rs-2335261/v1,,https://doi.org/10.21203/rs.3.rs-2335261/v1,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000645.pdf
REC-AIBIOGU-000649,Multi-omics biomarker pipeline reveals elevated levels of protein-glutamine gamma-glutamyltransferase 4 in seminal plasma of prostate cancer patients,2017,,Drabovich AP; Saraon P; Drabovich M; Karakosta TD; Dimitromanolakis A; Hyndman ME; Jarvi K; Diamandis EP,10.1101/120873,,https://doi.org/10.1101/120873,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000649.pdf
REC-AIBIOGU-000675,Development of a Single Molecule Counting Assay to Differentiate Chromophobe Renal Cancer and Oncocytoma in Clinics,2022,,Satter KB; Ramsey Z; Tran PM; Hopkins D; Bearden G; Richardson KP; Terris MK; Savage NM; Kavuri SK; Purohit S,10.1101/2022.05.16.22275137,,https://doi.org/10.1101/2022.05.16.22275137,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000675.pdf
REC-AIBIOGU-000685,Radiomics-Based Detection of Germ Cell Neoplasia In Situ Using Volumetric ADC and FA Histogram Features: A Retrospective Study.,2025,Cancers (Basel),Christodoulou MV; Pappa O; Astrakas L; Lampri E; Paliouras T; Sofikitis N; Argyropoulou MI; Tsili AC,10.3390/cancers17193220,41097746,https://doi.org/10.3390/cancers17193220,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000685.pdf
REC-AIBIOGU-000687,DeepCMS: A Feature Selection-Driven Model for Cancer Molecular Subtyping with a Case Study on Testicular Germ Cell Tumors.,2025,Diagnostics (Basel),Khan MW; Ahmed G; Shahzad M; Namoun A; Hussain S; Alanazi MH,10.3390/diagnostics15212730,41226022,https://doi.org/10.3390/diagnostics15212730,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000687.pdf
REC-AIBIOGU-000690,Deep learning for subtypes identification of pure seminoma of the testis,2022,,Medvedev KE; Acosta PH; Jia L; Grishin NV,10.1101/2022.05.16.22275153,,https://doi.org/10.1101/2022.05.16.22275153,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000690.pdf
